# -*- type: table -*-
ls           	      2.5e-10	  7.57963e-10	      1.5e-09
rs           	            2	            4	            5
cp           	        1e-13	  1.91005e-13	        4e-13
cs1          	        1e-13	  1.24975e-13	        8e-13
rac          	          0.5	      3.37865	           10
ldc          	        1e-11	  2.04933e-10	        1e-09
k1           	            0	       0.6891	            1
rsub         	            0	        2.739	           20
k2           	            0	       0.5445	            1
cs2          	        2e-15	  3.23642e-14	        5e-14
rpattern     	          0.1	      0.76299	           10
cs3          	        2e-15	  1.89299e-14	        5e-14
cp2          	        1e-14	  2.62834e-13	        5e-13
k3           	            0	       0.4663	            1
rsubp2       	            0	      1.12729	          200
outerdiameter	          100	          200	          400
width        	            5	            8	           25
spacing      	            2	         2.01	           10
